Network,Title ,Genre,"Shows/Films with Latino Lead and/or co-lead 
Actors/Actresses 0=no 1=yes",Names of Latino Lead Actors/Actresses,"Latino ""Showrunner/Lead Writer""? no= 0 yes=1",Names of Latino lead writers/show runners ,Latino Directors? 0= no or 1,Names of Latino Directors ,,,,,,
Showtime,The Affair,Drama,0,,0,,0,,,,,,,
CBS,The Amazing Race,Drama,0,,0,,0,,,,,,,
ABC,The Bachelorette,Alternative,0,,0,,0,,,,,,,
CW,The Big Stage,Alternative,0,,0,,0,,,,,,,
Amazon,The Boys,Drama,0,,0,,0,,,,,,,
Hulu,The Bravest Knight,Kids,0,,0,,0,,,,,,,
Investigation Discovery,The Case that Haunts Me,Drama,0,,0,,n/a,,,,,,,
MTV,The Challenge Season 33 ,Alternative,0,,0,,0,,,,,,,
Netflix ,The Chef Show,Docu-series,0,,0,,0,,,,,,,
Netflix,"The Confession Tapes, season 2",Docu-series,0,,0,,0,,,,,,,
Travel Channel,The Dead Files Season 10 ,Drama,0,,0,,n/a,,,,,,,
Netflix,The Family,Docu-series,0,,0,,0,,,,,,,
TLC ,The Family Chantel,Alternative,1,"Pedro Jimeno, Chantel Everett",n/a,,n/a,,,,,,,
Food Network,THE FLAY LIST,Alternative ,0,,0,,n/a,,,,,,,
CBS,The Good Fight,Drama,0,,0,,0,,,,,,,
Hallmark,The Good Witch Season 5 ,Comedy,0,,0,,0,,,,,,,
Food Network,The Great Food Truck Race,Alternative ,0,,0,,n/a,,,,,,,
Hulu,The Handmaid's Tale,Drama,1,Alexis Bledel,0,,0,,,,,,,
MTV,The Hills: New Beginnings,Alternative,0,,0,,0,,,,,,,
Nat Geo,The Hot Zone,Drama,0,,0,,n/a,,,,,,,
NBC,The InBetween,Drama,0,,0,,1,,,,,,,
Investigation Discovery,The Killer Beside Me Season 2,Alternative,0,,0,,n/a,,,,,,,
Paramount,THE LAST COWBOY,Alternative,0,,0,,n/a,,,,,,,
TLC,The Little Couple Season 14 ,Alternative,0,,0,,n/a,,,,,,,
Showtime,The Loudest Voice,Drama,0,,0,,0,,,,,,,
CW,The Masters of Illusion,Alternative,0,,0,,0,,,,,,,
Investigation Discovery,The Murder Tapes,Drama,0,,0,,n/a,,,,,,,
CW,The Outpost,Drama,0,,0,,0,,,,,,,
USA,The Radkes,Alternative,0,,0,,0,,,,,,,
Bravo,The Real Housewives of Orange County,Alternative,0,,0,,0,,,,,,,
Bravo,The Real Housewives of Potomac Season 5  ,Alternative,0,,0,,0,,,,,,,
HBO,The Righteous Gemstones,Comedy,0,,0,,0,,,,,,,
Starz,The Rook,Drama,0,,0,,0,,,,,,,
Investigation Discovery,The Shadows of Death,Drama,0,,0,,n/a,,,,,,,
Netflix,The Society,Drama,0,,0,,0,,,,,,,
AMC,The Son ,Drama,1,Paola Nuñez,0,,0,,,,,,,
History,The Strongest Man in History,Alternative,0,,0,,n/a,,,,,,,
